Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
C1,CP_Radial_D8.0mm_P3.50mm,1,100uF 50V,
C10,CP_Radial_D8.0mm_P5.00mm,1,330uF 25V,
C2,CP_Radial_D10.0mm_P5.00mm,1,100uF 50V,
C3,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,220pF,
C4,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,0.1uF,
C5,CP_Radial_D6.3mm_P2.50mm,1,22uF 25V,
C6,CP_Radial_D8.0mm_P5.00mm,1,10uF,
C7,CP_Radial_D4.0mm_P2.00mm,1,2.2uF 50V,
C8,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,0.22uF,
C9,CP_Radial_D8.0mm_P5.00mm,1,10uF 50V,
D1,D_DO-201AD_P5.08mm_Vertical_AnodeUp,1,31DQ06,
D2,D_DO-201AD_P5.08mm_Vertical_KathodeUp,1,31D106,
"D3, D5",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
D4,D_DO-201AD_P12.70mm_Horizontal,1,31DQ06,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,3A,
J1,SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm,1,Battery,
J2,BarrelJack_CUI_PJ-063AH_Horizontal,1,Jack-DC,
J3,JST_EH_B15B-EH-A_1x15_P2.50mm_Vertical,1,MAINBOARD_OUT,
L1,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,330uH,
Q1,TO-220-3_Horizontal_TabDown,1,IRF9540N,
"R1, R6",R_Box_L8.4mm_W2.5mm_P5.08mm,2,1k,
R2,R_Box_L8.4mm_W2.5mm_P5.08mm,1,10k,
R3,R_Box_L8.4mm_W2.5mm_P5.08mm,1,1,
R4,R_Box_L8.4mm_W2.5mm_P5.08mm,1,15k,
"R5, R8",R_Box_L8.4mm_W2.5mm_P5.08mm,2,200k,
"R7, R9",R_Box_L8.4mm_W2.5mm_P5.08mm,2,150k,
RV1,Potentiometer_Bourns_3299Y_Vertical,1,4.7k,
SW1,A8L-21-12N2,1,SW_DPST,
U1,SO_PDIP-8_3.9x4.9mm_P1.27mm_1,1,MC34063,
U2,Monolithic Power SIP6,1,MEZD41502A-C,
U3,TO-220-3_Horizontal_TabDown,1,MEZD72401A-G,
U4,TO-220-3_Horizontal_TabDown,1,LM340T-12,
U5,TO-220-3_Horizontal_TabDown,1,N7812-1PH,
U6,TP5100-Module,1,TP5100 Module,
