Designator,Mid X,Mid Y,Rotation,Layer
A1,207.91,-81.71,90.0,top
C1,136.24,-78.72,90.0,top
C10,95.39,-85.957349,90.0,top
C2,100.527677,-76.88,0.0,top
C3,113.64,-83.97,270.0,top
C4,128.4,-112.71,270.0,top
C5,143.88,-113.58762,90.0,top
C6,161.01,-115.36,270.0,top
C7,154.18,-117.082599,270.0,top
C8,123.86,-112.78,270.0,top
C9,135.91,-114.27,270.0,top
D1,82.46,-68.51,270.0,top
D2,89.62,-68.58,270.0,top
D3,107.99,-82.15,270.0,top
D4,81.03,-87.67,0.0,top
D5,160.95,-78.05,180.0,top
F1,80.98,-80.0,180.0,top
J2,65.35,-82.39,270.0,top
J3,179.72,-99.73,270.0,top
L1,111.07,-70.6,270.0,top
Q1,70.38,-104.52,90.0,top
R1,76.99,-97.0,0.0,top
R2,76.985,-93.13,180.0,top
R3,128.7,-77.93,270.0,top
R4,126.61,-68.4,180.0,top
R5,200.02,-69.0,0.0,top
R6,126.61,-65.0,180.0,top
R7,209.91,-69.0,0.0,top
R8,200.0,-65.56,0.0,top
R9,209.9,-65.57,0.0,top
RV1,135.015,-68.61,90.0,top
SW1,151.39,-68.06,180.0,top
U1,122.47,-77.087,0.0,top
U2,177.3625,-66.361,180.0,top
U3,156.67,-97.01,0.0,top
U4,125.13,-97.32,0.0,top
U5,140.64,-97.28,0.0,top
U6,98.078,-100.293,0.0,top
